timestamp_iso,temperature,humidity,pressure,lightLevel
2025-05-22T12:01:45.150436,25.1,53.5,1002.36,11.67
2025-05-22T12:01:52.362756,25.1,53.5,1002.37,11.67
2025-05-22T12:01:59.494292,25.1,53.5,1002.4,12.5
2025-05-22T12:02:06.672288,25.1,53.5,1002.36,12.5
2025-05-22T12:02:13.784848,25.1,53.4,1002.36,12.5
2025-05-22T12:02:20.917735,25.2,53.5,1002.37,11.67
2025-05-22T12:02:28.066750,25.1,53.5,1002.34,130.83
2025-05-22T12:02:35.231713,25.1,53.5,1002.35,95.0
2025-05-22T12:02:42.387242,25.1,53.5,1002.4,144.17
2025-05-22T12:02:49.536896,25.1,53.5,1002.37,113.33
2025-05-22T12:02:56.695507,25.1,53.5,1002.39,15.0
2025-05-22T12:03:03.817870,25.1,53.6,1002.39,12.5
2025-05-22T12:03:10.969055,25.1,53.5,1002.38,12.5
2025-05-22T12:03:18.232510,25.1,53.5,1002.34,12.5
2025-05-22T12:03:25.500316,25.1,53.5,1002.36,15.0
2025-05-22T12:03:32.649893,25.1,53.5,1002.39,15.0
2025-05-22T12:03:39.842149,25.1,53.4,1002.39,15.0
2025-05-22T12:03:47.014397,25.2,53.4,1002.32,15.0
2025-05-22T12:03:54.280515,25.1,53.4,1002.36,15.0
2025-05-22T12:04:01.548480,25.1,53.4,1002.37,16.67
2025-05-22T12:04:08.711756,25.1,53.4,1002.36,14.17
2025-05-22T12:04:15.889999,25.1,53.7,1002.35,14.17
2025-05-22T12:04:23.157442,25.1,53.7,1002.34,12.5
2025-05-22T12:04:30.430685,25.2,53.6,1002.42,13.33
2025-05-22T12:04:37.607459,25.1,53.5,1002.4,13.33
2025-05-22T12:04:44.867932,25.1,53.5,1002.3,13.33
2025-05-22T12:04:52.016466,25.2,53.5,1002.37,13.33
2025-05-22T12:04:59.308420,25.1,53.5,1002.34,13.33
2025-05-22T12:05:06.578988,25.2,53.4,1002.35,13.33
2025-05-22T12:05:13.743508,25.2,53.5,1002.38,13.33
2025-05-22T12:05:20.916381,25.2,53.4,1002.36,13.33
2025-05-22T12:05:28.188655,25.1,53.4,1002.33,13.33
2025-05-22T12:05:35.346945,25.2,53.4,1002.38,13.33
2025-05-22T12:05:42.527189,25.2,53.4,1002.4,13.33
2025-05-22T12:05:49.795522,25.2,53.3,1002.35,13.33
2025-05-22T12:05:57.068140,25.2,53.4,1002.35,13.33
2025-05-22T12:06:04.234373,25.2,53.4,1002.36,13.33
2025-05-22T12:06:11.508020,25.2,53.3,1002.41,13.33
2025-05-22T12:06:18.673599,25.2,53.4,1002.31,13.33
2025-05-22T12:06:25.946214,25.2,53.3,1002.37,13.33
2025-05-22T12:06:33.102129,25.2,53.3,1002.33,13.33
2025-05-22T12:06:40.271384,25.2,53.4,1002.32,15.0
2025-05-22T12:06:47.553072,25.2,53.3,1002.32,13.33
2025-05-22T12:06:54.826156,25.2,53.4,1002.36,13.33
2025-05-22T12:07:02.095112,25.2,53.4,1002.33,14.17
2025-05-22T12:07:09.261857,25.2,53.4,1002.32,14.17
2025-05-22T12:07:16.541291,25.2,53.4,1002.26,14.17
2025-05-22T12:07:23.806964,25.2,53.4,1002.29,15.0
2025-05-22T12:07:31.076995,25.2,53.3,1002.34,15.0
2025-05-22T12:07:38.347872,25.2,53.3,1002.28,14.17
2025-05-22T12:07:45.619711,25.2,53.5,1002.27,12.5
2025-05-22T12:07:52.894056,25.2,53.4,1002.27,11.67
2025-05-22T12:08:00.051040,25.2,53.3,1002.28,12.5
2025-05-22T12:08:07.202257,25.2,53.3,1002.27,11.67
2025-05-22T12:08:14.395819,25.2,53.3,1002.31,12.5
2025-05-22T12:08:21.564580,25.2,53.5,1002.33,10.83
2025-05-22T12:08:28.735583,25.2,53.5,1002.35,10.83
2025-05-22T12:08:36.004096,25.2,53.4,1002.32,10.0
2025-05-22T12:08:43.275757,25.2,53.3,1002.33,9.17
2025-05-22T12:08:50.428970,25.2,53.3,1002.31,9.17
2025-05-22T12:08:57.583236,25.2,53.2,1002.33,9.17
2025-05-22T12:09:04.781648,25.2,53.1,1002.33,9.17
2025-05-22T12:09:11.932061,25.3,53.1,1002.29,9.17
2025-05-22T12:09:19.082657,25.3,53.1,1002.32,9.17
2025-05-22T12:09:26.285936,25.3,53.1,1002.31,9.17
2025-05-22T12:09:33.558351,25.3,53.0,1002.34,9.17
2025-05-22T12:09:40.712183,25.3,53.0,1002.28,8.33
2025-05-22T12:09:47.997578,25.3,53.1,1002.33,9.17
2025-05-22T12:09:55.152382,25.3,53.1,1002.3,9.17
2025-05-22T12:10:02.314345,25.3,53.1,1002.28,9.17
2025-05-22T12:10:09.502061,25.3,53.0,1002.31,10.0
2025-05-22T12:10:16.774505,25.3,53.0,1002.28,12.5
2025-05-22T12:10:23.939151,25.3,52.9,1002.33,13.33
2025-05-22T12:10:31.213701,25.3,53.0,1002.3,11.67
2025-05-22T12:10:38.485884,25.3,53.0,1002.26,9.17
2025-05-22T12:10:45.755734,25.3,53.0,1002.26,9.17
2025-05-22T12:10:52.915917,25.3,53.0,1002.29,9.17
2025-05-22T12:11:00.084952,25.3,53.0,1002.3,9.17
2025-05-22T12:11:07.234140,25.3,52.9,1002.32,9.17
2025-05-22T12:11:14.397249,25.3,53.0,1002.29,10.0
2025-05-22T12:11:21.600316,25.3,53.0,1002.3,10.83
2025-05-22T12:11:28.771504,25.3,53.0,1002.36,10.0
2025-05-22T12:11:36.039521,25.3,52.9,1002.38,14.17
2025-05-22T12:11:43.308537,25.3,52.9,1002.28,16.67
2025-05-22T12:11:50.462571,25.3,53.2,1002.27,12.5
2025-05-22T12:11:57.646709,25.3,53.4,1002.32,11.67
2025-05-22T12:12:04.920603,25.3,53.2,1002.34,8.33
2025-05-22T12:12:12.069658,25.3,53.1,1002.29,10.0
2025-05-22T12:20:06.671763,25.1,52.9,1002.26,15.0
2025-05-22T12:20:13.858457,25.2,52.9,1002.25,11.67
2025-05-22T12:20:21.087932,25.1,52.8,1002.26,11.67
2025-05-22T12:20:28.360615,25.1,52.9,1002.26,11.67
2025-05-22T12:20:35.534740,25.1,52.9,1002.32,15.83
2025-05-22T12:20:42.699230,25.1,52.9,1002.27,15.83
2025-05-22T12:20:49.826961,25.1,52.8,1002.24,15.83
2025-05-22T12:20:57.028897,25.1,52.8,1002.25,15.83
2025-05-22T12:21:04.199371,25.1,52.8,1002.3,15.0
2025-05-22T12:21:11.362042,25.1,52.7,1002.24,15.83
2025-05-22T12:21:18.639267,25.1,52.8,1002.28,15.83
2025-05-22T12:21:25.907680,25.1,52.7,1002.3,15.83
2025-05-22T12:21:33.073163,25.1,52.7,1002.27,15.83
2025-05-22T12:21:40.232411,25.1,52.7,1002.31,15.83
