date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-04-01 00:00:00,18.9,9.7,27.1,0,,234,7.9,,1012.7,
2024-04-02 00:00:00,17.4,12.8,21.6,0,,299,20.3,,1007.3,
2024-04-03 00:00:00,15,7.5,22.1,0,,232,7.4,,1014.4,
2024-04-04 00:00:00,16,10.1,22,0,,231,4.7,,1015.1,
2024-04-05 00:00:00,15.8,7.6,22.7,0,,261,3.8,,1019.1,
2024-04-06 00:00:00,17.6,10.3,23.2,0,,321,2.4,,1019.3,
2024-04-07 00:00:00,16.8,11.3,22.1,3.4,,25,4.4,,1020.7,
2024-04-08 00:00:00,15.8,9.5,21.7,0,,38,2.3,,1023.3,
2024-04-09 00:00:00,16.9,9.4,24.3,0,,27,1.8,,1019.4,
2024-04-10 00:00:00,16.7,8.4,24.9,0,,31,1.8,,1018.7,
2024-04-11 00:00:00,18,8.5,27.6,0,,21,1.8,,1024.9,
2024-04-12 00:00:00,19.8,13.3,26.4,0,,39,3.5,,1026.1,
2024-04-13 00:00:00,19.5,14.2,25.1,0.5,,38,3.5,,1023.6,
2024-04-14 00:00:00,19.9,11.8,27.6,0,,238,4.5,,1020.7,
2024-04-15 00:00:00,21.7,11.7,31.2,0,,226,5.4,,1013.4,
2024-04-16 00:00:00,22.4,15.6,30.1,0,,220,6.5,,1003.9,
2024-04-17 00:00:00,16.7,9.4,22.3,23.3,,224,5.1,,999.3,
2024-04-18 00:00:00,10,7.2,16.5,9.5,,232,7.4,,1003,
2024-04-19 00:00:00,9.7,3.5,16.1,0.6,,134,3.3,,1011.7,
2024-04-20 00:00:00,10.6,5.8,16,0,,35,4.1,,1010.5,
2024-04-21 00:00:00,13.5,8.2,18.9,2.1,,294,2.9,,1009.7,
2024-04-22 00:00:00,10.8,8.9,14.9,9.6,,14,2.4,,1015.1,
2024-04-23 00:00:00,9.7,7.9,11.3,5.4,,52,5.3,,1017.8,
2024-04-24 00:00:00,13.9,9.6,21,1.2,,291,4.8,,1005.3,
2024-04-25 00:00:00,13.7,11.2,18.4,1.3,,300,3.3,,1005.2,
2024-04-26 00:00:00,12.6,8.7,18.6,1.7,,211,3.9,,1012.2,
2024-04-27 00:00:00,14.4,7.5,21.7,0,,35,2.4,,1019.6,
2024-04-28 00:00:00,16.3,8.9,23.5,0,,22,2.9,,1023.4,
2024-04-29 00:00:00,16.3,10.3,22.8,1.1,,31,4.4,,1025.6,
2024-04-30 00:00:00,14.4,11.2,17.6,3.9,,36,3.6,,1026.5,
2024-05-01 00:00:00,15.7,10.8,20.4,0,,69,15.2,,1021.4,
2024-05-02 00:00:00,14.5,11,19.4,0.9,,35,3.3,,1014.5,
